date,title,amount
2026-06-03,Multsom,"97,50"
2026-06-02,Comfrutas Laranja Doce,"65,62"
2026-05-28,Ips Br*Onlyfans,"26,12"
2026-05-27,Chies Barber,"70,00"
2026-05-27,Ebn*Capcut,"13,00"
2026-05-26,Amigao Cianorte I,"60,07"
2026-05-25,IOF de volta de Lovable,"- 0,99"
2026-05-25,Lovable,"28,33"
2026-05-25,"IOF de ""Lovable""","0,99"
2026-05-25,Dl*Google Moises,"9,99"
2026-05-23,Ips,"134,27"
2026-05-23,Ips Br*Onlyfans,"52,61"
2026-05-23,Amazon Br *Amazon,"41,26"
2026-05-22,Claude.Ai Subscription,"113,35"
2026-05-22,"IOF de ""Claude.Ai Subscription""","3,96"
2026-05-21,IOF de volta de Claude.Ai Subscription,"- 3,96"
2026-05-20,Jim.Com* Gabriel Fran,"1.800,00"
2026-05-16,"IOF de ""Railway""","0,91"
2026-05-16,Comfrutas Laranja Doce,"144,42"
2026-05-16,Hk Clinic,"300,00"
2026-05-16,Dl*Google Google,"12,50"
2026-05-16,Railway,"26,21"
2026-05-15,IOF de volta de Railway,"- 0,91"
2026-05-14,Mp *Gfarma,"127,42"
2026-05-14,QMS,"35,50"
2026-05-14,Ips Br*Onlyfans,"17,80"
2026-05-12,IOF por fatura atrasada,"7,36"
2026-05-12,Multa por fatura atrasada,"37,93"
2026-05-12,Juros de atraso do Pix no crédito para QMS INTERNACIONAL PROGRAMACAO LTDA,"0,03"
2026-05-12,Multa de atraso do Pix no crédito para QMS INTERNACIONAL PROGRAMACAO LTDA,"0,39"
2026-05-12,IOF de atraso do Pix no crédito para QMS INTERNACIONAL PROGRAMACAO LTDA,"0,00"
2026-05-12,Pagamento recebido,"- 1.908,86"
2026-05-11,Pix no Crédito - QMS INTERNACIONAL PROGRAMACAO LTDA,"21,46"
2026-05-11,Pix no Crédito - S A RECEBIMENTOS LTDA,"2,70"
2026-05-11,Valor pendente do mês anterior,"1.889,36"
2026-05-11,Pix no Crédito - QMS INTERNACIONAL PROGRAMACAO LTDA,"22,74"
2026-05-08,Hk Clinic,"300,00"
2026-05-05,Panobiancos Academia -,"109,90"
2026-05-04,Aprova Total - Parcela 4/12,"83,00"
