date,title,amount
2026-08-03,Mp *Gfarma,"176,53"
2026-07-30,Amigao Cianorte I,"65,77"
2026-07-30,Hk Clinic,"600,00"
2026-07-29,Jim.Com* Alessandro e,"155,00"
2026-07-28,Berzerk,"230,06"
2026-07-26,Amigao Cianorte I,"21,76"
2026-07-26,Panificadora e Confei,"128,15"
2026-07-25,Lovable,"28,32"
2026-07-25,Google Moises The Mus,"9,99"
2026-07-25,IOF de volta de Lovable,"- 0,99"
2026-07-25,"IOF de ""Lovable""","0,99"
2026-07-23,Amigao Cianorte I,"25,37"
2026-07-22,Comfrutas Laranja Doce,"43,08"
2026-07-22,IOF de volta de Anthropic* Claude Sub,"- 3,96"
2026-07-22,"IOF de ""Anthropic* Claude Sub""","3,96"
2026-07-22,Anthropic* Claude Sub,"113,37"
2026-07-19,Assinatura HBO Max desconto Nubank,"4,90"
2026-07-18,Google Youtube,"26,90"
2026-07-16,IOF de volta de Railway,"- 0,91"
2026-07-16,Dl*Google Google,"12,50"
2026-07-16,Railway,"26,25"
2026-07-16,"IOF de ""Railway""","0,91"
2026-07-14,Ebn*Canva0494,"49,00"
2026-07-11,Pagamento recebido,"- 3.496,31"
2026-07-07,Comfrutas Laranja Doce,"138,16"
2026-07-06,Du Ricks Burger,"49,80"
2026-07-05,Panobiancos Academia,"109,90"
2026-07-04,Aprova Total - Parcela 6/12,"83,00"
2026-07-04,Manual Saude Brasil - Parcela 2/3,"113,00"
